,rank,title,Date
200,1,"하이바이, 마마!",2020-04-21
201,2,더 킹: 영원의 군주,2020-04-21
202,3,슬기로운 의사생활,2020-04-21
203,4,투 핫!,2020-04-21
204,5,루갈,2020-04-21
205,6,종이의 집,2020-04-21
206,7,슬기로운 감빵생활,2020-04-21
207,8,이태원 클라쓰,2020-04-21
208,9,킹덤,2020-04-21
209,10,멜로가 체질,2020-04-21
210,1,슬기로운 의사생활,2020-04-22
211,2,더 킹: 영원의 군주,2020-04-22
212,3,투 핫!,2020-04-22
213,4,"하이바이, 마마!",2020-04-22
214,5,루갈,2020-04-22
215,6,종이의 집,2020-04-22
216,7,슬기로운 감빵생활,2020-04-22
217,8,멜로가 체질,2020-04-22
218,9,이태원 클라쓰,2020-04-22
219,10,킹덤,2020-04-22
220,1,슬기로운 의사생활,2020-04-23
221,2,투 핫!,2020-04-23
222,3,더 킹: 영원의 군주,2020-04-23
223,4,"하이바이, 마마!",2020-04-23
224,5,종이의 집,2020-04-23
225,6,슬기로운 감빵생활,2020-04-23
226,7,루갈,2020-04-23
227,8,멜로가 체질,2020-04-23
228,9,이태원 클라쓰,2020-04-23
229,10,킹덤,2020-04-23
230,1,슬기로운 의사생활,2020-04-24
231,2,하트시그널,2020-04-24
232,3,투 핫!,2020-04-24
233,4,더 킹: 영원의 군주,2020-04-24
234,5,"하이바이, 마마!",2020-04-24
235,6,슬기로운 감빵생활,2020-04-24
236,7,종이의 집,2020-04-24
237,8,멜로가 체질,2020-04-24
238,9,아내의 맛,2020-04-24
239,10,루갈,2020-04-24
240,1,슬기로운 의사생활,2020-04-25
241,2,하트시그널,2020-04-25
242,3,투 핫!,2020-04-25
243,4,더 킹: 영원의 군주,2020-04-25
244,5,슬기로운 감빵생활,2020-04-25
245,6,종이의 집,2020-04-25
246,7,"하이바이, 마마!",2020-04-25
247,8,신청곡을 불러드립니다 - 사랑의 콜센타,2020-04-25
248,9,이태원 클라쓰,2020-04-25
249,10,멜로가 체질,2020-04-25
250,1,슬기로운 의사생활,2020-04-26
251,2,더 킹: 영원의 군주,2020-04-26
252,3,투 핫!,2020-04-26
253,4,하트시그널,2020-04-26
254,5,슬기로운 감빵생활,2020-04-26
255,6,종이의 집,2020-04-26
256,7,공각기동대 에스에이씨_2045,2020-04-26
257,8,킹덤,2020-04-26
258,9,"하이바이, 마마!",2020-04-26
259,10,이태원 클라쓰,2020-04-26
260,1,더 킹: 영원의 군주,2020-04-27
261,2,슬기로운 의사생활,2020-04-27
262,3,투 핫!,2020-04-27
263,4,루갈,2020-04-27
264,5,하트시그널,2020-04-27
265,6,슬기로운 감빵생활,2020-04-27
266,7,종이의 집,2020-04-27
267,8,공각기동대 에스에이씨_2045,2020-04-27
268,9,킹덤,2020-04-27
269,10,이태원 클라쓰,2020-04-27
270,1,슬기로운 의사생활,2020-04-28
271,2,더 킹: 영원의 군주,2020-04-28
272,3,루갈,2020-04-28
273,4,투 핫!,2020-04-28
274,5,하트시그널,2020-04-28
275,6,슬기로운 감빵생활,2020-04-28
276,7,종이의 집,2020-04-28
277,8,멜로가 체질,2020-04-28
278,9,이태원 클라쓰,2020-04-28
279,10,응답하라 1988,2020-04-28
280,1,슬기로운 의사생활,2020-04-29
281,2,더 킹: 영원의 군주,2020-04-29
282,3,투 핫!,2020-04-29
283,4,루갈,2020-04-29
284,5,슬기로운 감빵생활,2020-04-29
285,6,하트시그널,2020-04-29
286,7,종이의 집,2020-04-29
287,8,멜로가 체질,2020-04-29
288,9,이태원 클라쓰,2020-04-29
289,10,응답하라 1988,2020-04-29
290,1,슬기로운 의사생활,2020-04-30
291,2,더 킹: 영원의 군주,2020-04-30
292,3,인간수업,2020-04-30
293,4,투 핫!,2020-04-30
294,5,슬기로운 감빵생활,2020-04-30
295,6,루갈,2020-04-30
296,7,종이의 집,2020-04-30
297,8,하트시그널,2020-04-30
298,9,멜로가 체질,2020-04-30
299,10,이태원 클라쓰,2020-04-30
