,rank,title,broadcast,episode,date,genre,category,DateTime,count
7849,50,트롯신이 떴다,SBS,5,2020-04-01,예능,지상파,2020-04-07 14:00:00,1
7850,51,어서와 한국은 처음이지?,MBC Every1,133,2020-04-02,예능,케이블,2020-04-07 14:00:00,1
7851,52,김병만의 정글의 법칙,SBS,408,2020-04-04,예능,지상파,2020-04-07 14:00:00,1
7852,53,얼마예요?,TV CHOSUN,132,2020-04-06,예능,종편,2020-04-07 14:00:00,1
7853,54,닥터스,SBS,6,2016-07-05,드라마,지상파,2020-04-07 14:00:00,1
7854,55,도시어부2: 대항해시대,채널A,16,2020-04-02,예능,종편,2020-04-07 14:00:00,1
7855,56,어쩌다 가족,JAYE,2,2020-04-05,드라마,케이블,2020-04-07 14:00:00,1
7856,57,모던 패밀리,MBN,57,2020-04-03,예능,종편,2020-04-07 14:00:00,1
7857,58,자연스럽게,MBN,35,2020-04-04,예능,종편,2020-04-07 14:00:00,1
7858,59,미스터트롯,TV CHOSUN,10,2020-03-05,예능,종편,2020-04-07 14:00:00,1
7859,60,불후의 명곡 전설을 노래하다,KBS 2TV,449,2020-04-04,예능,지상파,2020-04-07 14:00:00,1
7860,61,복면가왕,MBC,249,2020-04-05,예능,지상파,2020-04-07 14:00:00,1
7861,62,속풀이쇼 동치미,MBN,386,2020-04-04,예능,종편,2020-04-07 14:00:00,1
7862,63,실화탐사대,MBC,75,2020-04-01,시사교양,지상파,2020-04-07 14:00:00,1
7863,64,아빠본색,채널A,194,2020-04-05,예능,종편,2020-04-07 14:00:00,1
7864,65,수목 드라마 슈츠,KBS 2TV,1,2018-04-25,드라마,지상파,2020-04-07 14:00:00,1
7865,66,신비한 TV 서프라이즈,MBC,910,2020-04-05,예능,지상파,2020-04-07 14:00:00,1
7866,67,편애중계,MBC,21,2020-04-03,예능,지상파,2020-04-07 14:00:00,1
7867,68,질투의 화신,SBS,2,2016-08-25,드라마,지상파,2020-04-07 14:00:00,1
7868,69,그들이 사는 세상,KBS 2TV,1,2008-10-27,드라마,지상파,2020-04-07 14:00:00,1
7869,70,동백꽃 필 무렵,KBS 2TV,1-2,2019-09-18,드라마,지상파,2020-04-07 14:00:00,1
7870,71,해피 투게더,KBS 2TV,634,2020-04-02,예능,지상파,2020-04-07 14:00:00,1
7871,72,강적들,TV CHOSUN,327,2020-04-04,시사교양,종편,2020-04-07 14:00:00,1
7872,73,모란봉 클럽,TV CHOSUN,233,2020-04-05,예능,종편,2020-04-07 14:00:00,1
7873,74,비디오스타,MBC Every1,190,2020-03-31,예능,케이블,2020-04-07 14:00:00,1
7874,75,공부가 머니?,MBC,22,2020-04-03,예능,지상파,2020-04-07 14:00:00,1
7875,76,무한도전,MBC,435,2015-07-04,예능,지상파,2020-04-07 14:00:00,1
7876,77,어서와,KBS 2TV,7-8,2020-04-02,드라마,지상파,2020-04-07 14:00:00,1
7877,78,하트시그널 시즌2,채널A,2,2018-03-23,예능,종편,2020-04-07 14:00:00,1
7878,79,SBS 스페셜,SBS,588,2020-04-05,시사교양,지상파,2020-04-07 14:00:00,1
7879,80,인간극장,KBS 1TV,4400,2020-04-07,시사교양,지상파,2020-04-07 14:00:00,1
7880,81,스토브리그,SBS,16,2020-02-14,드라마,지상파,2020-04-07 14:00:00,1
7881,82,아이콘택트,채널A,34,2020-04-06,예능,종편,2020-04-07 14:00:00,1
7882,83,불타는 청춘,SBS,247,2020-03-31,예능,지상파,2020-04-07 14:00:00,1
7883,84,낭만닥터 김사부 ,SBS,10,2016-12-06,드라마,지상파,2020-04-07 14:00:00,1
7884,85,"진짜 농구, 핸섬 타이거즈",SBS,12,2020-03-27,예능,지상파,2020-04-07 14:00:00,1
7885,86,의사요한,SBS,10,2019-08-17,드라마,지상파,2020-04-07 14:00:00,1
7886,87,출발! 비디오 여행,MBC,1326,2020-04-05,예능,지상파,2020-04-07 14:00:00,1
7887,88,프로듀사,KBS 2TV,12,2015-06-20,드라마,지상파,2020-04-07 14:00:00,1
7888,89,공사창립 특별기획 태양의 후예,KBS 2TV,2,2016-02-25,드라마,지상파,2020-04-07 14:00:00,1
7889,90,살림하는 남자들,KBS 2TV,159,2020-03-25,예능,지상파,2020-04-07 14:00:00,1
7890,91,PD 수첩,MBC,1236,2020-03-31,시사교양,지상파,2020-04-07 14:00:00,1
7891,92,SBS 8뉴스,SBS,,2020-04-06,뉴스,지상파,2020-04-07 14:00:00,1
7892,93,정치합시다,KBS 1TV,10,2020-04-05,시사교양,지상파,2020-04-07 14:00:00,1
7893,94,"쌈, 마이웨이",KBS 2TV,7,2017-06-12,드라마,지상파,2020-04-07 14:00:00,1
7894,95,더킹 투하츠,MBC,15,2012-05-09,드라마,지상파,2020-04-07 14:00:00,1
7895,96,열혈사제,SBS,2,2019-02-16,드라마,지상파,2020-04-07 14:00:00,1
7896,97,MBC뉴스데스크,MBC,20200406,2020-04-06,뉴스,지상파,2020-04-07 14:00:00,1
7897,98,세상에 나쁜 개는 없다,EBS 1,224,2020-04-03,시사교양,케이블,2020-04-07 14:00:00,1
7898,99,제보자들,KBS 2TV,162,2020-04-02,시사교양,지상파,2020-04-07 14:00:00,1
7899,100,천일야사,채널A,171,2020-03-31,시사교양,종편,2020-04-07 14:00:00,1
7900,101,아무도 모른다,SBS,11,2020-04-06,드라마,지상파,2020-04-07 14:00:00,2
7901,102,365 : 운명을 거스르는 1년,MBC,9-10,2020-04-06,드라마,지상파,2020-04-07 14:00:00,2
7902,103,맛 좀 보실래요,SBS,106,2020-04-07,드라마,지상파,2020-04-07 14:00:00,2
7903,104,나쁜사랑,MBC,91,2020-04-07,드라마,지상파,2020-04-07 14:00:00,2
7904,105,하이에나,SBS,14,2020-04-04,드라마,지상파,2020-04-07 14:00:00,2
7905,106,한 번 다녀왔습니다,KBS 2TV,7-8,2020-04-05,드라마,지상파,2020-04-07 14:00:00,2
7906,107,아무도 모른다[19세],SBS,11,2020-04-06,드라마,지상파,2020-04-07 14:00:00,2
7907,108,월화 드라마 계약우정,KBS 2TV,1-2,2020-04-06,드라마,지상파,2020-04-07 14:00:00,2
7908,109,그 남자의 기억법,MBC,11-12,2020-04-02,드라마,지상파,2020-04-07 14:00:00,2
7909,110,꽃길만 걸어요,KBS 1TV,115,2020-04-06,드라마,지상파,2020-04-07 14:00:00,2
7910,111,일일드라마 위험한 약속,KBS 2TV,6,2020-04-06,드라마,지상파,2020-04-07 14:00:00,2
7911,112,유별나! 문셰프,채널A,4,2020-04-04,드라마,종편,2020-04-07 14:00:00,2
7912,113,낭만닥터 김사부 2,SBS,16,2020-02-25,드라마,지상파,2020-04-07 14:00:00,2
7913,114,닥터스,SBS,6,2016-07-05,드라마,지상파,2020-04-07 14:00:00,2
7914,115,어쩌다 가족,JAYE,2,2020-04-05,드라마,케이블,2020-04-07 14:00:00,2
7915,116,수목 드라마 슈츠,KBS 2TV,1,2018-04-25,드라마,지상파,2020-04-07 14:00:00,2
7916,117,질투의 화신,SBS,2,2016-08-25,드라마,지상파,2020-04-07 14:00:00,2
7917,118,그들이 사는 세상,KBS 2TV,1,2008-10-27,드라마,지상파,2020-04-07 14:00:00,2
7918,119,동백꽃 필 무렵,KBS 2TV,1-2,2019-09-18,드라마,지상파,2020-04-07 14:00:00,2
7919,120,어서와,KBS 2TV,7-8,2020-04-02,드라마,지상파,2020-04-07 14:00:00,2
7920,121,스토브리그,SBS,16,2020-02-14,드라마,지상파,2020-04-07 14:00:00,2
7921,122,낭만닥터 김사부 ,SBS,10,2016-12-06,드라마,지상파,2020-04-07 14:00:00,2
7922,123,의사요한,SBS,10,2019-08-17,드라마,지상파,2020-04-07 14:00:00,2
7923,124,프로듀사,KBS 2TV,12,2015-06-20,드라마,지상파,2020-04-07 14:00:00,2
7924,125,공사창립 특별기획 태양의 후예,KBS 2TV,2,2016-02-25,드라마,지상파,2020-04-07 14:00:00,2
7925,126,"쌈, 마이웨이",KBS 2TV,7,2017-06-12,드라마,지상파,2020-04-07 14:00:00,2
7926,127,더킹 투하츠,MBC,15,2012-05-09,드라마,지상파,2020-04-07 14:00:00,2
7927,128,열혈사제,SBS,2,2019-02-16,드라마,지상파,2020-04-07 14:00:00,2
7928,129,수상한 파트너,SBS,13,2017-06-21,드라마,지상파,2020-04-07 14:00:00,2
7929,130,어쩌다 발견한 하루,MBC,1-2,2019-10-02,드라마,지상파,2020-04-07 14:00:00,2
7930,131,꽃보다 남자,KBS 2TV,1,2009-01-05,드라마,지상파,2020-04-07 14:00:00,2
7931,132,어머님은 내 며느리,SBS,136,2015-12-31,드라마,지상파,2020-04-07 14:00:00,2
7932,133,연애의 발견,KBS 2TV,8,2014-09-09,드라마,지상파,2020-04-07 14:00:00,2
7933,134,김과장,KBS 2TV,19,2017-03-29,드라마,지상파,2020-04-07 14:00:00,2
7934,135,달의 연인-보보경심 려,SBS,20,2016-11-01,드라마,지상파,2020-04-07 14:00:00,2
7935,136,포레스트,KBS 2TV,31-32,2020-03-19,드라마,지상파,2020-04-07 14:00:00,2
7936,137,별에서 온 그대,SBS,7,2014-01-08,드라마,지상파,2020-04-07 14:00:00,2
7937,138,사랑은 뷰티풀 인생은 원더풀,KBS 2TV,99-100,2020-03-22,드라마,지상파,2020-04-07 14:00:00,2
7938,139,동이,MBC,15,2010-05-10,드라마,지상파,2020-04-07 14:00:00,2
7939,140,역도요정 김복주,MBC,11,2016-12-21,드라마,지상파,2020-04-07 14:00:00,2
7940,141,상속자들,SBS,4,2013-10-17,드라마,지상파,2020-04-07 14:00:00,2
7941,142,일일드라마 우아한 모녀,KBS 2TV,103,2020-03-27,드라마,지상파,2020-04-07 14:00:00,2
7942,143,황후의 품격,SBS,17,2019-01-17,드라마,지상파,2020-04-07 14:00:00,2
7943,144,히트,MBC,1 ,2007-03-19,드라마,지상파,2020-04-07 14:00:00,2
7944,145,너의 목소리가 들려,SBS,9,2013-07-03,드라마,지상파,2020-04-07 14:00:00,2
7945,146,금토드라마 고백부부,KBS 2TV,5,2017-10-27,드라마,지상파,2020-04-07 14:00:00,2
7946,147,아이가 다섯,KBS 2TV,54,2016-08-21,드라마,지상파,2020-04-07 14:00:00,2
7947,148,힐러,KBS 2TV,5,2014-12-22,드라마,지상파,2020-04-07 14:00:00,2
7948,149,신사의 품격,SBS,20,2012-08-12,드라마,지상파,2020-04-07 14:00:00,2
7949,150,궁,MBC,5,2006-01-25,드라마,지상파,2020-04-07 14:00:00,2
7950,151,터치,채널A,1,2020-01-03,드라마,종편,2020-04-07 14:00:00,2
7951,152,봄밤,MBC,7-8,2019-05-30,드라마,지상파,2020-04-07 14:00:00,2
7952,153,피고인,SBS,3,2017-01-30,드라마,지상파,2020-04-07 14:00:00,2
7953,154,내 뒤에 테리우스,MBC,9-10,2018-10-10,드라마,지상파,2020-04-07 14:00:00,2
7954,155,수목 드라마 닥터 프리즈너,KBS 2TV,3-4,2019-03-21,드라마,지상파,2020-04-07 14:00:00,2
7955,156,검법남녀 시즌2,MBC,5-6,2019-06-10,드라마,지상파,2020-04-07 14:00:00,2
7956,157,특별근로감독관 조장풍,MBC,11-12,2019-04-23,드라마,지상파,2020-04-07 14:00:00,2
7957,158,푸른 바다의 전설,SBS,5,2016-11-30,드라마,지상파,2020-04-07 14:00:00,2
7958,159,그녀는 예뻤다,MBC,3,2015-09-23,드라마,지상파,2020-04-07 14:00:00,2
7959,160,친애하는 판사님께,SBS,4,2018-08-02,드라마,지상파,2020-04-07 14:00:00,2
7960,161,당신이 잠든 사이에,SBS,1,2017-09-27,드라마,지상파,2020-04-07 14:00:00,2
7961,162,"수목 드라마 단, 하나의 사랑",KBS 2TV,3-4,2019-05-23,드라마,지상파,2020-04-07 14:00:00,2
7962,163,아이템,MBC,1-2,2019-02-11,드라마,지상파,2020-04-07 14:00:00,2
7963,164,"내딸, 금사월",MBC,50,2016-02-27,드라마,지상파,2020-04-07 14:00:00,2
7964,165,쇼핑왕 루이,MBC,4,2016-09-29,드라마,지상파,2020-04-07 14:00:00,2
7965,166,육룡이 나르샤,SBS,43,2016-02-29,드라마,지상파,2020-04-07 14:00:00,2
7966,167,드림하이1,KBS 2TV,7,2011-01-24,드라마,지상파,2020-04-07 14:00:00,2
7967,168,"장옥정, 사랑에 살다",SBS,13,2013-05-20,드라마,지상파,2020-04-07 14:00:00,2
7968,169,더게임:0시를 향하여,MBC,29-30,2020-03-11,드라마,지상파,2020-04-07 14:00:00,2
7969,170,허준,MBC,48 ,2000-05-02,드라마,지상파,2020-04-07 14:00:00,2
7970,171,주군의 태양,SBS,1,2013-08-07,드라마,지상파,2020-04-07 14:00:00,2
7971,172,구르미 그린 달빛,KBS 2TV,7,2016-09-12,드라마,지상파,2020-04-07 14:00:00,2
7972,173,내 이름은 김삼순,MBC,1 ,2005-06-01,드라마,지상파,2020-04-07 14:00:00,2
7973,174,시크릿 가든,SBS,11,2010-12-18,드라마,지상파,2020-04-07 14:00:00,2
7974,175,각시탈,KBS 2TV,14,2012-07-12,드라마,지상파,2020-04-07 14:00:00,2
7975,176,아버지가 이상해,KBS 2TV,28,2017-06-04,드라마,지상파,2020-04-07 14:00:00,2
7976,177,대장금,MBC,21 ,2003-11-24,드라마,지상파,2020-04-07 14:00:00,2
7977,178,오로라 공주,MBC,133,2013-11-27,드라마,지상파,2020-04-07 14:00:00,2
7978,179,"하이드 지킬, 나",SBS,3,2015-01-28,드라마,지상파,2020-04-07 14:00:00,2
7979,180,일진에게 찍혔을때,KTH PLAYY,7,2019-09-10,드라마,케이블,2020-04-07 14:00:00,2
7980,181,언니는 살아있다,SBS,36,2017-08-12,드라마,지상파,2020-04-07 14:00:00,2
7981,182,킬미힐미,MBC,3,2015-01-14,드라마,지상파,2020-04-07 14:00:00,2
7982,183,VIP,SBS,14,2019-12-17,드라마,지상파,2020-04-07 14:00:00,2
7983,184,보고 또 보고,MBC,151,1998-09-30,드라마,지상파,2020-04-07 14:00:00,2
7984,185,미세스 캅2,SBS,19,2016-05-07,드라마,지상파,2020-04-07 14:00:00,2
7985,186,최고의 사랑,MBC,3,2011-05-11,드라마,지상파,2020-04-07 14:00:00,2
7986,187,마이더스,SBS,21,2011-05-03,드라마,지상파,2020-04-07 14:00:00,2
7987,188,MBN 수목드라마 우아한 가,MBN,4,2019-08-29,드라마,종편,2020-04-07 14:00:00,2
7988,189,배가본드,SBS,4,2019-09-28,드라마,지상파,2020-04-07 14:00:00,2
7989,190,자체발광 오피스,MBC,1,2017-03-15,드라마,지상파,2020-04-07 14:00:00,2
7990,191,기황후,MBC,51,2014-04-29,드라마,지상파,2020-04-07 14:00:00,2
7991,192,괜찮아 사랑이야,SBS,2,2014-07-24,드라마,지상파,2020-04-07 14:00:00,2
7992,193,뿌리깊은 나무,SBS,6,2011-10-20,드라마,지상파,2020-04-07 14:00:00,2
7993,194,검법남녀,MBC,7,2018-05-22,드라마,지상파,2020-04-07 14:00:00,2
7994,195,복수가 돌아왔다,SBS,10,2019-01-14,드라마,지상파,2020-04-07 14:00:00,2
7995,196,퐁당퐁당 love,MBC,1,2015-12-13,드라마,지상파,2020-04-07 14:00:00,2
7996,197,부부클리닉 사랑과 전쟁 2,KBS 2TV,100,2014-01-17,드라마,지상파,2020-04-07 14:00:00,2
7997,198,싸인,SBS,16,2011-02-24,드라마,지상파,2020-04-07 14:00:00,2
7998,199,맨도롱 또ㅤㄸㅗㅅ,MBC,2,2015-05-14,드라마,지상파,2020-04-07 14:00:00,2
7999,200,특별기획 대하드라마 광개토태왕,KBS 1TV,92,2012-04-29,드라마,지상파,2020-04-07 14:00:00,2
8000,201,동상이몽2_너는 내 운명,SBS,140,2020-04-06,예능,지상파,2020-04-07 14:00:00,3
8001,202,개는 훌륭하다,KBS 2TV,22,2020-04-06,예능,지상파,2020-04-07 14:00:00,3
8002,203,런닝맨,SBS,497,2020-04-05,예능,지상파,2020-04-07 14:00:00,3
8003,204,미운 우리 새끼,SBS,184,2020-04-05,예능,지상파,2020-04-07 14:00:00,3
8004,205,나 혼자 산다,MBC,340,2020-04-03,예능,지상파,2020-04-07 14:00:00,3
8005,206,무엇이든 물어보살,KBS JOY,55,2020-04-06,예능,케이블,2020-04-07 14:00:00,3
8006,207,놀면 뭐하니?,MBC,36,2020-04-04,예능,지상파,2020-04-07 14:00:00,3
8007,208,부러우면 지는거다,MBC,5,2020-04-06,예능,지상파,2020-04-07 14:00:00,3
8008,209,구해줘! 홈즈,MBC,52,2020-04-05,예능,지상파,2020-04-07 14:00:00,3
8009,210,전지적 참견시점,MBC,98,2020-04-04,예능,지상파,2020-04-07 14:00:00,3
8010,211,1박2일 시즌4,KBS 2TV,18,2020-04-05,예능,지상파,2020-04-07 14:00:00,3
8011,212,옥탑방의 문제아들,KBS 2TV,72,2020-04-06,예능,지상파,2020-04-07 14:00:00,3
8012,213,사장님 귀는 당나귀 귀,KBS 2TV,50,2020-04-05,예능,지상파,2020-04-07 14:00:00,3
8013,214,슈퍼맨이 돌아왔다,KBS 2TV,323,2020-03-29,예능,지상파,2020-04-07 14:00:00,3
8014,215,풍문으로 들었쇼,채널A,234,2020-04-06,예능,종편,2020-04-07 14:00:00,3
8015,216,백종원의 골목식당,SBS,112,2020-04-01,예능,지상파,2020-04-07 14:00:00,3
8016,217,신청곡을 불러드립니다-사랑의 콜센타,TV CHOSUN,1,2020-04-02,예능,종편,2020-04-07 14:00:00,3
8017,218,라디오스타,MBC,663,2020-04-01,예능,지상파,2020-04-07 14:00:00,3
8018,219,선을 넘는 녀석들-리턴즈,MBC,32,2020-04-05,예능,지상파,2020-04-07 14:00:00,3
8019,220,아내의 맛,TV CHOSUN,91,2020-03-31,예능,종편,2020-04-07 14:00:00,3
8020,221,맛있는 녀석들,iHQ,267,2020-04-03,예능,케이블,2020-04-07 14:00:00,3
8021,222,신상 출시 편스토랑,KBS 2TV,23,2020-04-03,예능,지상파,2020-04-07 14:00:00,3
8022,223,오지GO,MBN,7,2020-04-06,예능,종편,2020-04-07 14:00:00,3
8023,224,끼리끼리,MBC,11,2020-04-05,예능,지상파,2020-04-07 14:00:00,3
8024,225,연애의 참견3,KBS JOY,13,2020-03-31,예능,케이블,2020-04-07 14:00:00,3
8025,226,하트시그널 시즌3,채널A,2,2020-04-01,예능,종편,2020-04-07 14:00:00,3
8026,227,미스터트롯의 맛,TV CHOSUN,2,2020-03-26,예능,종편,2020-04-07 14:00:00,3
8027,228,밥은 먹고 다니냐?,SBS Plus,24,2020-04-06,예능,케이블,2020-04-07 14:00:00,3
8028,229,TV 동물농장,SBS,963,2020-04-05,예능,지상파,2020-04-07 14:00:00,3
8029,230,맛남의 광장,SBS,18,2020-04-02,예능,지상파,2020-04-07 14:00:00,3
8030,231,집사부일체,SBS,114,2020-04-05,예능,지상파,2020-04-07 14:00:00,3
8031,232,트롯신이 떴다,SBS,5,2020-04-01,예능,지상파,2020-04-07 14:00:00,3
8032,233,어서와 한국은 처음이지?,MBC Every1,133,2020-04-02,예능,케이블,2020-04-07 14:00:00,3
8033,234,김병만의 정글의 법칙,SBS,408,2020-04-04,예능,지상파,2020-04-07 14:00:00,3
8034,235,얼마예요?,TV CHOSUN,132,2020-04-06,예능,종편,2020-04-07 14:00:00,3
8035,236,도시어부2: 대항해시대,채널A,16,2020-04-02,예능,종편,2020-04-07 14:00:00,3
8036,237,모던 패밀리,MBN,57,2020-04-03,예능,종편,2020-04-07 14:00:00,3
8037,238,자연스럽게,MBN,35,2020-04-04,예능,종편,2020-04-07 14:00:00,3
8038,239,미스터트롯,TV CHOSUN,10,2020-03-05,예능,종편,2020-04-07 14:00:00,3
8039,240,불후의 명곡 전설을 노래하다,KBS 2TV,449,2020-04-04,예능,지상파,2020-04-07 14:00:00,3
8040,241,복면가왕,MBC,249,2020-04-05,예능,지상파,2020-04-07 14:00:00,3
8041,242,속풀이쇼 동치미,MBN,386,2020-04-04,예능,종편,2020-04-07 14:00:00,3
8042,243,아빠본색,채널A,194,2020-04-05,예능,종편,2020-04-07 14:00:00,3
8043,244,신비한 TV 서프라이즈,MBC,910,2020-04-05,예능,지상파,2020-04-07 14:00:00,3
8044,245,편애중계,MBC,21,2020-04-03,예능,지상파,2020-04-07 14:00:00,3
8045,246,해피 투게더,KBS 2TV,634,2020-04-02,예능,지상파,2020-04-07 14:00:00,3
8046,247,모란봉 클럽,TV CHOSUN,233,2020-04-05,예능,종편,2020-04-07 14:00:00,3
8047,248,비디오스타,MBC Every1,190,2020-03-31,예능,케이블,2020-04-07 14:00:00,3
8048,249,공부가 머니?,MBC,22,2020-04-03,예능,지상파,2020-04-07 14:00:00,3
8049,250,무한도전,MBC,435,2015-07-04,예능,지상파,2020-04-07 14:00:00,3
8050,251,하트시그널 시즌2,채널A,2,2018-03-23,예능,종편,2020-04-07 14:00:00,3
8051,252,아이콘택트,채널A,34,2020-04-06,예능,종편,2020-04-07 14:00:00,3
8052,253,불타는 청춘,SBS,247,2020-03-31,예능,지상파,2020-04-07 14:00:00,3
8053,254,"진짜 농구, 핸섬 타이거즈",SBS,12,2020-03-27,예능,지상파,2020-04-07 14:00:00,3
8054,255,출발! 비디오 여행,MBC,1326,2020-04-05,예능,지상파,2020-04-07 14:00:00,3
8055,256,살림하는 남자들,KBS 2TV,159,2020-03-25,예능,지상파,2020-04-07 14:00:00,3
8056,257,가요무대,KBS 1TV,,2020-04-06,예능,지상파,2020-04-07 14:00:00,3
8057,258,이제 만나러 갑니다,채널A,433,2020-04-05,예능,종편,2020-04-07 14:00:00,3
8058,259,친한 예능,MBN,12,2020-04-04,예능,종편,2020-04-07 14:00:00,3
8059,260,유희열의 스케치북,KBS 2TV,485,2020-04-03,예능,지상파,2020-04-07 14:00:00,3
8060,261,"오! 나의 파트,너",MBC,1,2020-04-04,예능,지상파,2020-04-07 14:00:00,3
8061,262,라스트싱어,MBN,3,2020-04-02,예능,종편,2020-04-07 14:00:00,3
8062,263,미스트롯,TV CHOSUN,8,2019-04-18,예능,종편,2020-04-07 14:00:00,3
8063,264,개그 콘서트,KBS 2TV,1041,2020-03-28,예능,지상파,2020-04-07 14:00:00,3
8064,265,알토란,MBN,277,2020-04-05,예능,종편,2020-04-07 14:00:00,3
8065,266,우리 다시 사랑할 수 있을까 시즌2,MBN,4,2020-04-01,예능,종편,2020-04-07 14:00:00,3
8066,267,<무한도전 스페셜> 무한상사 모음,MBC,5,2012-10-06,예능,지상파,2020-04-07 14:00:00,3
8067,268,연애의 맛,TV CHOSUN,16,2019-09-19,예능,종편,2020-04-07 14:00:00,3
8068,269,지붕 뚫고 하이킥,MBC,13,2009-09-23,예능,지상파,2020-04-07 14:00:00,3
8069,270,끝까지 간다 ,TV CHOSUN,6,2020-04-03,예능,종편,2020-04-07 14:00:00,3
8070,271,미추리 8-1000,SBS,1,2018-11-16,예능,지상파,2020-04-07 14:00:00,3
8071,272,연애의 참견2,KBS JOY,56,2019-09-10,예능,케이블,2020-04-07 14:00:00,3
8072,273,나는 트로트 가수다,MBC Every1,8,2020-03-25,예능,케이블,2020-04-07 14:00:00,3
8073,274,본격연예 한밤,SBS,152,2020-04-01,예능,지상파,2020-04-07 14:00:00,3
8074,275,미추리 8-1000 시즌 2,SBS,1,2019-02-15,예능,지상파,2020-04-07 14:00:00,3
8075,276,이십세기 힛-트쏭,KBS JOY,2,2020-04-03,예능,케이블,2020-04-07 14:00:00,3
8076,277,거침없이 하이킥,MBC,37 ,2007-01-01,예능,지상파,2020-04-07 14:00:00,3
8077,278,주간 아이돌,MBC Every1,453,2020-04-01,예능,케이블,2020-04-07 14:00:00,3
8078,279,1박2일 시즌1,KBS 2TV,152,2010-08-08,예능,지상파,2020-04-07 14:00:00,3
8079,280,트로트 퀸,MBN,4,2020-02-26,예능,종편,2020-04-07 14:00:00,3
8080,281,대화의 희열2,KBS 2TV,,2019-06-29,예능,지상파,2020-04-07 14:00:00,3
8081,282,발칙한 동거 - 빈방 있음,MBC,17050507,2017-05-05,예능,지상파,2020-04-07 14:00:00,3
8082,283,노래가 좋아,KBS 1TV,160,2020-04-04,예능,지상파,2020-04-07 14:00:00,3
8083,284,한가위특집 나는 트로트 가수다,MBC,1,2011-09-12,예능,지상파,2020-04-07 14:00:00,3
8084,285,선을 넘는 녀석들,MBC,1,2018-03-30,예능,지상파,2020-04-07 14:00:00,3
8085,286,나는 트로트 가수다,MBC,1,2012-01-23,예능,지상파,2020-04-07 14:00:00,3
8086,287,<무한도전 레전드> 리얼 버라이어티,MBC,4,2012-08-18,예능,지상파,2020-04-07 14:00:00,3
8087,288,일밤 - 아빠! 어디가?,MBC,1,2013-01-06,예능,지상파,2020-04-07 14:00:00,3
8088,289,맞짱의 신,SBS Fil,7,2020-04-04,예능,케이블,2020-04-07 14:00:00,3
8089,290,배철수 잼(Jam),MBC,3,2020-02-24,예능,지상파,2020-04-07 14:00:00,3
8090,291,언니들의 슬램덩크2,KBS 2TV,10,2016-06-10,예능,지상파,2020-04-07 14:00:00,3
8091,292,판타스틱 듀오,SBS,2,2016-04-24,예능,지상파,2020-04-07 14:00:00,3
8092,293,호구의 연애,MBC,12,2019-06-02,예능,지상파,2020-04-07 14:00:00,3
8093,294,비포 썸 라이즈,MBN,7,2019-02-25,예능,종편,2020-04-07 14:00:00,3
8094,295,송가인 콘서트 <가인이어라>,MBC,1,2019-11-10,예능,지상파,2020-04-07 14:00:00,3
8095,296,대화의 희열,KBS 2TV,5,2018-10-06,예능,지상파,2020-04-07 14:00:00,3
8096,297,설특집 2020 송가인 콘서트 <고맙습니다>,MBC,1,2020-01-26,예능,지상파,2020-04-07 14:00:00,3
8097,298,도시어부,채널A,100,2019-08-01,예능,종편,2020-04-07 14:00:00,3
8098,299,영웅호걸,SBS,7,2010-08-29,예능,지상파,2020-04-07 14:00:00,3
8099,300,백년손님,SBS,281,2015-06-11,예능,지상파,2020-04-07 14:00:00,3
8100,1,슈퍼맨이 돌아왔다,KBS 2TV,324,2020-04-05,예능,지상파,2020-04-07 19:00:00,1
8101,2,동상이몽2_너는 내 운명,SBS,140,2020-04-06,예능,지상파,2020-04-07 19:00:00,1
8102,3,개는 훌륭하다,KBS 2TV,22,2020-04-06,예능,지상파,2020-04-07 19:00:00,1
8103,4,미운 우리 새끼,SBS,184,2020-04-05,예능,지상파,2020-04-07 19:00:00,1
8104,5,아무도 모른다,SBS,11,2020-04-06,드라마,지상파,2020-04-07 19:00:00,1
8105,6,런닝맨,SBS,497,2020-04-05,예능,지상파,2020-04-07 19:00:00,1
8106,7,나 혼자 산다,MBC,340,2020-04-03,예능,지상파,2020-04-07 19:00:00,1
8107,8,놀면 뭐하니?,MBC,36,2020-04-04,예능,지상파,2020-04-07 19:00:00,1
8108,9,365 : 운명을 거스르는 1년,MBC,9-10,2020-04-06,드라마,지상파,2020-04-07 19:00:00,1
8109,10,무엇이든 물어보살,KBS JOY,55,2020-04-06,예능,케이블,2020-04-07 19:00:00,1
8110,11,맛 좀 보실래요,SBS,106,2020-04-07,드라마,지상파,2020-04-07 19:00:00,1
8111,12,구해줘! 홈즈,MBC,52,2020-04-05,예능,지상파,2020-04-07 19:00:00,1
8112,13,부러우면 지는거다,MBC,5,2020-04-06,예능,지상파,2020-04-07 19:00:00,1
8113,14,전지적 참견시점,MBC,98,2020-04-04,예능,지상파,2020-04-07 19:00:00,1
8114,15,1박2일 시즌4,KBS 2TV,18,2020-04-05,예능,지상파,2020-04-07 19:00:00,1
8115,16,하이에나,SBS,14,2020-04-04,드라마,지상파,2020-04-07 19:00:00,1
8116,17,나쁜사랑,MBC,91,2020-04-07,드라마,지상파,2020-04-07 19:00:00,1
8117,18,옥탑방의 문제아들,KBS 2TV,72,2020-04-06,예능,지상파,2020-04-07 19:00:00,1
